year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2021,3,K,chase-mclaughlin-mclauch02,Chase McLaughlin,CLE,CHI,home,18.00,2,2,4,4,2
2021,3,K,justin-tucker-tuckeju01,Justin Tucker,BAL,DET,away,17.00,1,1,5,4,2
2021,3,K,mason-crosby-crosbma01,Mason Crosby,GB,SF,away,16.00,3,3,3,3,2
2021,3,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,NYJ,home,14.00,2,2,4,4,0
2021,3,K,tyler-bass-bassty01,Tyler Bass,BUF,WAS,home,13.00,4,4,3,3,0
2021,3,K,daniel-carlson-carlsda01,Daniel Carlson,LV,MIA,home,13.00,3,2,3,3,1
2021,3,K,greg-joseph-josepgr01,Greg Joseph,MIN,SEA,home,12.00,3,3,3,3,0
2021,3,K,rodrigo-blankenship-blankro01,Rodrigo Blankenship,IND,TEN,away,10.00,1,1,4,3,0
2021,3,K,matt-gay-gayma02,Matt Gay,LA,TB,home,10.00,4,4,2,2,0
2021,3,K,jason-sanders-sandeja03,Jason Sanders,MIA,LV,away,10.00,2,2,3,2,1
2021,3,K,nick-folk-folkni01,Nick Folk,NE,NO,home,7.00,1,1,2,2,0
2021,3,K,jason-myers-myersja02,Jason Myers,SEA,MIN,away,7.00,2,2,2,1,1
2021,3,K,matt-prater-pratema01,Matt Prater,ARI,JAX,away,7.00,4,4,2,1,0
2021,3,K,harrison-butker-butkeha01,Harrison Butker,KC,LAC,home,6.00,3,3,1,1,0
2021,3,K,graham-gano-ganogr01,Graham Gano,NYG,ATL,home,6.00,0,0,2,2,0
2021,3,K,zane-gonzalez-gonzaza01,Zane Gonzalez,CAR,HOU,away,6.00,3,3,1,1,0
2021,3,K,evan-mcpherson-mcpheev01,Evan McPherson,CIN,PIT,away,6.00,3,3,1,1,0
2021,3,K,cairo-santos-santoca01,Cairo Santos,CHI,CLE,away,6.00,0,0,2,2,0
2021,3,K,ryan-succop-succory01,Ryan Succop,TB,LA,away,6.00,3,3,2,1,0
2021,3,K,randy-bullock-bullora01,Randy Bullock,TEN,IND,home,5.00,2,2,1,1,0
2021,3,K,younghoe-koo-kooyo01,Younghoe Koo,ATL,NYG,away,5.00,2,2,1,1,0
2021,3,K,ryan-santoso-santory01,Ryan Santoso,BAL,DET,away,5.00,2,2,1,1,0
2021,3,K,joey-slye-slyejo01,Joey Slye,CAR,HOU,away,5.00,1,0,1,1,1
2021,3,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,DAL,PHI,home,5.00,6,5,0,0,0
2021,3,K,chris-boswell-boswech01,Chris Boswell,PIT,CIN,home,4.00,1,1,2,1,0
2021,3,K,robbie-gould-gouldro01,Robbie Gould,SF,GB,home,4.00,4,4,0,0,0
2021,3,K,aldrick-rosas-rosasal01,Aldrick Rosas,NO,NE,away,4.00,4,4,2,0,0
2021,3,K,tristan-vizcaino-vizcatr01,Tristan Vizcaino,LAC,KC,away,4.00,3,1,1,1,0
2021,3,K,jake-elliott-ellioja04,Jake Elliott,PHI,DAL,away,3.00,3,3,0,0,0
2021,3,K,dustin-hopkins-hopkidu01,Dustin Hopkins,WAS,BUF,away,3.00,3,3,0,0,0
2021,3,K,josh-lambo-lambojo01,Josh Lambo,ARI,JAX,away,1.00,3,1,0,0,0
