year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,sacks,interceptions,safeties,fumble_recoveries,blocked_kicks,defensive_touchdowns,points_against,passing_yards_allowed,rushing_yards_allowed,total_yards_allowed
2021,12,DST,nfl,Miami Dolphins,MIA,CAR,home,26.00,5.0,3,0,0,1,1,10,134,64,198
2021,12,DST,nfl,Cincinnati Bengals,CIN,PIT,home,22.00,3.0,2,0,1,0,1,10,250,51,301
2021,12,DST,nfl,Denver Broncos,DEN,LAC,home,20.00,3.0,2,0,0,0,1,13,285,72,357
2021,12,DST,nfl,New England Patriots,NE,TEN,home,17.00,2.0,1,0,3,0,0,13,85,270,355
2021,12,DST,nfl,New York Giants,NYG,PHI,home,16.00,1.0,3,0,1,0,0,7,124,208,332
2021,12,DST,nfl,Cleveland Browns,CLE,BAL,away,14.00,2.0,4,0,0,0,0,16,155,148,303
2021,12,DST,nfl,Baltimore Ravens,BAL,CLE,home,14.00,3.0,0,0,2,0,0,10,222,40,262
2021,12,DST,nfl,Green Bay Packers,GB,LA,home,14.00,2.0,1,0,2,0,1,28,285,68,353
2021,12,DST,nfl,Buffalo Bills,BUF,NO,away,14.00,2.0,1,0,0,0,0,6,146,44,190
2021,12,DST,nfl,Tampa Bay Buccaneers,TB,IND,away,13.00,3.0,2,0,3,0,0,31,285,107,392
2021,12,DST,nfl,New York Jets,NYJ,HOU,away,11.00,5.0,1,0,0,0,0,14,106,96,202
2021,12,DST,nfl,Seattle Seahawks,SEA,WAS,away,11.00,1.0,1,0,0,1,0,17,219,152,371
2021,12,DST,nfl,Minnesota Vikings,MIN,SF,away,10.00,2.0,1,0,0,0,1,34,215,208,423
2021,12,DST,nfl,Atlanta Falcons,ATL,JAX,away,9.00,1.0,1,0,1,0,0,14,216,141,357
2021,12,DST,nfl,Dallas Cowboys,DAL,LV,home,9.00,3.0,0,0,0,0,1,36,366,143,509
2021,12,DST,nfl,Washington Football Team,WAS,SEA,home,8.00,2.0,0,0,1,0,0,15,233,34,267
2021,12,DST,nfl,Philadelphia Eagles,PHI,NYG,away,8.00,1.0,0,0,0,0,0,13,194,70,264
2021,12,DST,nfl,Detroit Lions,DET,CHI,home,7.00,1.0,1,0,0,0,0,16,310,68,378
2021,12,DST,nfl,Chicago Bears,CHI,DET,away,7.00,1.0,0,0,1,0,0,14,163,76,239
2021,12,DST,nfl,Houston Texans,HOU,NYJ,home,7.00,4.0,1,0,0,0,0,21,109,157,266
2021,12,DST,nfl,San Francisco 49ers,SF,MIN,home,6.00,1.0,1,0,1,0,0,26,256,67,323
2021,12,DST,nfl,New Orleans Saints,NO,BUF,home,6.00,2.0,2,0,0,0,0,31,248,113,361
2021,12,DST,nfl,Indianapolis Colts,IND,TB,home,6.00,2.0,1,0,1,0,0,38,217,142,359
2021,12,DST,nfl,Jacksonville Jaguars,JAX,ATL,home,4.00,1.0,1,0,0,0,0,21,183,149,332
2021,12,DST,nfl,Pittsburgh Steelers,PIT,CIN,away,4.00,2.0,1,0,0,0,0,41,172,198,370
2021,12,DST,nfl,Carolina Panthers,CAR,MIA,away,4.00,2.0,0,0,1,0,0,33,204,111,315
2021,12,DST,nfl,Los Angeles Chargers,LAC,DEN,away,3.00,1.0,1,0,0,0,0,28,155,147,302
2021,12,DST,nfl,Los Angeles Rams,LA,GB,away,3.00,1.0,0,0,1,0,0,36,307,92,399
2021,12,DST,nfl,Tennessee Titans,TEN,NE,away,2.00,2.0,0,0,0,0,0,36,289,105,394
2021,12,DST,nfl,Las Vegas Raiders,LV,DAL,away,1.00,1.0,0,0,0,0,0,33,373,64,437
