year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2017,9,WR,ty-hilton-hiltoty01,T.Y. Hilton,IND,HOU,away,29.00,0,0,0,0,0,0,0,0,0,0,5,175,2,0,0,0
2017,9,WR,marvin-jones-jonesma08,Marvin Jones,DET,GB,away,22.00,0,0,0,0,0,0,0,0,0,0,7,107,2,0,0,0
2017,9,WR,alshon-jeffery-jeffeal01,Alshon Jeffery,PHI,DEN,home,20.00,0,0,0,0,0,0,0,0,0,0,6,84,2,0,0,0
2017,9,WR,robert-woods-woodsro06,Robert Woods,LA,NYG,away,19.00,0,0,0,0,0,0,0,0,0,0,4,70,2,0,0,0
2017,9,WR,doug-baldwin-baldwdo02,Doug Baldwin,SEA,WAS,home,16.00,0,0,0,0,0,0,0,0,0,0,7,108,1,0,0,0
2017,9,WR,cole-beasley-beaslco01,Cole Beasley,DAL,KC,home,14.00,0,0,0,0,0,0,0,0,0,0,4,24,2,0,0,0
2017,9,WR,deandre-hopkins-hopkide01,DeAndre Hopkins,HOU,IND,home,14.00,0,0,0,0,0,0,0,0,0,0,6,86,1,0,0,0
2017,9,WR,deonte-thompson-thompde03,Deonte Thompson,BUF,NYJ,away,14.00,0,0,0,0,0,0,0,0,0,0,7,81,1,0,0,0
2017,9,WR,terrance-williams-willite05,Terrance Williams,DAL,KC,home,14.00,0,0,0,0,0,0,0,0,0,0,9,141,0,0,0,0
2017,9,WR,marqise-lee-leema03,Marqise Lee,JAX,CIN,home,13.00,0,0,0,0,0,0,0,0,0,0,8,75,1,0,0,0
2017,9,WR,rishard-matthews-matthri01,Rishard Matthews,TEN,BAL,home,13.00,0,0,0,0,0,0,0,0,0,0,4,70,1,0,0,0
2017,9,WR,demaryius-thomas-thomade05,Demaryius Thomas,DEN,PHI,away,13.00,0,0,0,0,0,0,0,0,0,0,8,70,1,0,0,0
2017,9,WR,tyreek-hill-hillty02,Tyreek Hill,KC,DAL,away,12.00,0,0,0,0,0,0,4,9,0,0,2,64,1,0,0,0
2017,9,WR,sammy-watkins-watkisa01,Sammy Watkins,LA,NYG,away,12.00,0,0,0,0,0,0,0,0,0,0,1,67,1,0,0,0
2017,9,WR,ted-ginn-ginnte01,Ted Ginn Jr.,NO,TB,home,11.00,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0
2017,9,WR,julio-jones-jonesju05,Julio Jones,ATL,CAR,away,11.00,0,0,0,0,0,0,0,0,0,0,6,118,0,0,0,0
2017,9,WR,zay-jones-jonesis02,Zay Jones,BUF,NYJ,away,11.00,0,0,0,0,0,0,0,0,0,0,6,53,1,0,0,0
2017,9,WR,golden-tate-tatego02,Golden Tate,DET,GB,away,11.00,0,0,0,0,0,0,0,0,0,0,7,113,0,0,0,0
2017,9,WR,robby-anderson-anderro05,Robby Anderson,NYJ,BUF,home,10.00,0,0,0,0,0,0,0,0,0,0,4,48,1,0,0,0
2017,9,WR,johnny-holton-holtojo01,Johnny Holton,OAK,MIA,away,10.00,0,0,0,0,0,0,0,0,0,0,1,44,1,0,0,0
2017,9,WR,tavarres-king-kingta01,Tavarres King,NYG,LA,home,9.00,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0
2017,9,WR,jarvis-landry-landrja02,Jarvis Landry,MIA,OAK,home,9.00,0,0,0,0,0,0,0,0,0,0,6,32,1,0,0,0
2017,9,WR,jeremy-maclin-maclije01,Jeremy Maclin,BAL,TEN,away,9.00,0,0,0,0,0,0,0,0,0,0,8,98,0,0,0,0
2017,9,WR,eric-decker-deckeer01,Eric Decker,BAL,TEN,away,8.00,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0
2017,9,WR,devin-funchess-funchde01,Devin Funchess,CAR,ATL,home,8.00,0,0,0,0,0,0,0,0,0,0,5,86,0,0,0,0
2017,9,WR,mohamed-sanu-sanumo01,Mohamed Sanu,ATL,CAR,away,8.00,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0
2017,9,WR,dez-bryant-bryande02,Dez Bryant,DAL,KC,home,7.00,0,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0
2017,9,WR,larry-fitzgerald-fitzgla01,Larry Fitzgerald,ARI,SF,away,7.00,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0
2017,9,WR,devante-parker-parkede02,DeVante Parker,MIA,OAK,home,7.00,0,0,0,0,0,0,0,0,0,0,5,76,0,0,0,0
2017,9,WR,sterling-shepard-shepast01,Sterling Shepard,NYG,LA,home,7.00,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0
2017,9,WR,mike-wallace-wallami02,Mike Wallace,BAL,TEN,away,7.00,0,0,0,0,0,0,0,0,0,0,4,19,1,0,0,0
2017,9,WR,jaron-brown-brownja12,Jaron Brown,ARI,SF,away,6.00,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
2017,9,WR,marquise-goodwin-goodwma02,Marquise Goodwin,SF,ARI,home,6.00,0,0,0,0,0,0,0,0,0,0,2,68,0,0,0,0
2017,9,WR,michael-thomas-thomami05,Michael Thomas,NO,TB,home,6.00,0,0,0,0,0,0,0,0,0,0,8,65,0,0,0,0
2017,9,WR,davante-adams-adamsda04,Davante Adams,GB,DET,home,5.00,0,0,0,0,0,0,0,0,0,0,7,53,0,0,0,0
2017,9,WR,john-brown-brownjo10,John Brown,ARI,SF,away,5.00,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0
2017,9,WR,randall-cobb-cobbra01,Randall Cobb,GB,DET,home,5.00,0,0,0,0,0,0,1,1,0,0,5,58,0,0,0,0
2017,9,WR,amari-cooper-coopeam01,Amari Cooper,OAK,MIA,away,5.00,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
2017,9,WR,josh-doctson-doctsjo01,Josh Doctson,WAS,SEA,away,5.00,0,0,0,0,0,0,0,0,0,0,3,59,0,0,0,0
2017,9,WR,taylor-gabriel-gabrita01,Taylor Gabriel,ATL,CAR,away,5.00,0,0,0,0,0,0,1,3,0,0,3,56,0,0,0,0
