year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2019,17,K,kai-forbath-forbaka01,Kai Forbath,DAL,WAS,home,17.00,5,5,4,4,0
2019,17,K,younghoe-koo-kooyo01,Younghoe Koo,ATL,TB,away,16.00,1,1,5,5,0
2019,17,K,josh-lambo-lambojo01,Josh Lambo,JAX,IND,home,16.00,3,3,3,3,2
2019,17,K,justin-tucker-tuckeju01,Justin Tucker,BAL,PIT,home,14.00,2,2,4,4,0
2019,17,K,dan-bailey-baileda04,Dan Bailey,MIN,CHI,home,13.00,1,1,4,4,0
2019,17,K,eddy-pineiro-pineied01,Eddy Pineiro,CHI,MIN,away,13.00,1,1,4,4,0
2019,17,K,jake-elliott-ellioja04,Jake Elliott,PHI,NYG,away,12.00,4,4,2,2,1
2019,17,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,OAK,home,12.00,1,1,4,3,1
2019,17,K,mason-crosby-crosbma01,Mason Crosby,GB,DET,away,11.00,2,2,4,3,0
2019,17,K,dustin-hopkins-hopkidu01,Dustin Hopkins,WAS,DAL,away,10.00,1,1,3,3,0
2019,17,K,chase-mclaughlin-mclauch02,Chase McLaughlin,IND,JAX,away,10.00,2,2,2,2,1
2019,17,K,matt-prater-pratema01,Matt Prater,DET,GB,home,10.00,2,2,2,2,1
2019,17,K,randy-bullock-bullora01,Randy Bullock,CIN,CLE,home,9.00,4,3,2,2,0
2019,17,K,daniel-carlson-carlsda01,Daniel Carlson,OAK,DEN,away,9.00,0,0,4,3,0
2019,17,K,jason-sanders-sandeja03,Jason Sanders,MIA,NE,away,9.00,3,3,2,2,0
2019,17,K,robbie-gould-gouldro01,Robbie Gould,SF,SEA,away,8.00,2,2,2,2,0
2019,17,K,harrison-butker-butkeha01,Harrison Butker,KC,LAC,home,7.00,4,4,1,1,0
2019,17,K,sam-ficken-fickesa01,Sam Ficken,NYJ,BUF,away,7.00,1,1,4,2,0
2019,17,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,LA,ARI,home,7.00,4,4,2,1,0
2019,17,K,nick-folk-folkni01,Nick Folk,NE,MIA,home,6.00,3,3,1,1,0
2019,17,K,zane-gonzalez-gonzaza01,Zane Gonzalez,ARI,LA,away,6.00,3,3,1,1,0
2019,17,K,stephen-hauschka-hauscst01,Stephen Hauschka,BUF,NYJ,home,6.00,0,0,2,2,0
2019,17,K,wil-lutz-lutzwi01,Wil Lutz,NO,CAR,away,6.00,6,6,0,0,0
2019,17,K,greg-joseph-josepgr01,Greg Joseph,TEN,HOU,away,5.00,5,5,0,0,0
2019,17,K,aldrick-rosas-rosasal01,Aldrick Rosas,NYG,PHI,home,5.00,2,2,1,1,0
2019,17,K,austin-seibert-seibeau01,Austin Seibert,CLE,CIN,away,5.00,3,2,1,1,0
2019,17,K,chris-boswell-boswech01,Chris Boswell,PIT,BAL,away,4.00,1,1,1,1,0
2019,17,K,joey-slye-slyejo01,Joey Slye,CAR,NO,home,4.00,1,1,1,1,0
2019,17,K,michael-badgley-badglmi01,Michael Badgley,LAC,KC,away,3.00,3,3,0,0,0
2019,17,K,jason-myers-myersja02,Jason Myers,SEA,SF,home,3.00,3,3,0,0,0
2019,17,K,kaimi-fairbairn-fairbka01,Ka'imi Fairbairn,HOU,TEN,home,2.00,2,2,0,0,0
2019,17,K,matt-gay-gayma02,Matt Gay,TB,ATL,home,2.00,2,2,3,0,0
