year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2015,16,RB,tim-hightower-hightti01,Tim Hightower,NO,JAX,home,28.00,0,0,0,0,0,0,27,122,2,0,3,47,0,0,0,0
2015,16,RB,deangelo-williams-willide07,DeAngelo Williams,PIT,BAL,away,26.00,0,0,0,0,0,0,17,100,2,0,6,53,0,0,1,0
2015,16,RB,frank-gore-gorefr01,Frank Gore,IND,MIA,away,21.00,0,0,0,0,0,0,15,85,2,0,2,10,0,0,0,0
2015,16,RB,jerick-mckinnon-mckinje02,Jerick McKinnon,MIN,NYG,home,20.00,0,0,0,0,0,0,7,89,2,0,2,8,0,0,0,0
2015,16,RB,david-johnson-johnsda16,David Johnson,ARI,GB,home,17.00,0,0,0,0,0,0,9,39,1,0,3,88,0,0,0,0
2015,16,RB,adrian-peterson-peterad02,Adrian Peterson,MIN,NYG,home,17.00,0,0,0,0,0,0,22,104,1,0,1,15,0,0,0,0
2015,16,RB,charles-sims-simsch01,Charles Sims,TB,CHI,home,17.00,0,0,0,0,0,0,4,45,0,0,3,72,1,0,0,0
2015,16,RB,javorius-allen-allenja08,Javorius Allen,BAL,PIT,home,16.00,0,0,0,0,0,0,17,77,1,0,5,35,0,0,0,0
2015,16,RB,mike-gillislee-gillimi01,Mike Gillislee,DAL,BUF,away,16.00,0,0,0,0,0,0,9,93,1,0,2,16,0,0,0,0
2015,16,RB,latavius-murray-murrala01,Latavius Murray,OAK,SD,home,16.00,0,0,0,0,0,0,19,79,1,0,5,38,0,0,0,0
2015,16,RB,isaiah-crowell-croweis01,Isaiah Crowell,CLE,KC,away,14.00,0,0,0,0,0,0,16,88,1,0,0,0,0,0,0,0
2015,16,RB,devonta-freeman-freemde01,Devonta Freeman,ATL,CAR,home,14.00,0,0,0,0,0,0,22,73,1,0,3,17,0,0,0,0
2015,16,RB,todd-gurley-gurleto02,Todd Gurley,STL,SEA,away,14.00,0,0,0,0,0,0,19,83,1,0,1,7,0,0,0,0
2015,16,RB,eddie-lacy-lacyed01,Eddie Lacy,GB,ARI,away,14.00,0,0,0,0,0,0,12,60,0,0,1,28,1,0,0,0
2015,16,RB,karlos-williams-willika04,Karlos Williams,BUF,DAL,home,14.00,0,0,0,0,0,0,17,76,1,0,2,21,0,0,1,0
2015,16,RB,kadeem-carey-careyka01,Ka'Deem Carey,CHI,TB,away,13.00,0,0,0,0,0,0,7,16,1,0,1,1,1,0,0,0
2015,16,RB,rashad-jennings-jennira01,Rashad Jennings,NYG,MIN,away,13.00,0,0,0,0,0,0,14,74,0,0,2,62,0,0,0,0
2015,16,RB,cj-anderson-andercj01,C.J. Anderson,DEN,CIN,home,12.00,0,0,0,0,0,0,9,73,1,0,1,8,0,0,1,0
2015,16,RB,travaris-cadet-cadettr01,Travaris Cadet,NO,JAX,home,12.00,0,0,0,0,0,0,1,6,0,0,3,69,1,0,0,0
2015,16,RB,lamar-miller-millela03,Lamar Miller,MIA,IND,home,12.00,0,0,0,0,0,0,15,31,1,0,5,36,0,0,0,0
2015,16,RB,donald-brown-browndo06,Donald Brown,SD,OAK,away,10.00,0,0,0,0,0,0,14,17,1,0,3,33,0,0,0,0
2015,16,RB,demarco-murray-murrade01,DeMarco Murray,PHI,WAS,home,10.00,0,0,0,0,0,0,5,27,1,0,3,24,0,0,0,0
