year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2015,3,QB,aaron-rodgers-rodgeaa01,Aaron Rodgers,GB,KC,home,44.00,35,24,333,5,0,0,2,16,0,0,0,0,0,0,0,0
2015,3,QB,andy-dalton-daltoan02,Andy Dalton,CIN,BAL,away,37.00,32,20,383,3,1,0,5,10,1,0,0,0,0,0,1,0
2015,3,QB,cam-newton-newtoca02,Cam Newton,CAR,NO,home,33.00,31,20,315,2,0,0,7,33,1,0,0,0,0,0,0,0
2015,3,QB,tyrod-taylor-tayloty02,Tyrod Taylor,BUF,MIA,away,30.00,29,21,277,3,0,0,3,12,0,0,0,0,0,0,0,0
2015,3,QB,tom-brady-bradyto01,Tom Brady,NE,JAX,home,26.00,42,33,358,2,0,0,2,4,0,0,0,0,0,0,0,0
2015,3,QB,matt-ryan-ryanma01,Matt Ryan,ATL,DAL,away,26.00,36,24,285,2,0,1,2,17,0,0,0,0,0,0,0,0
2015,3,QB,derek-carr-carrde03,Derek Carr,OAK,CLE,away,24.00,32,20,314,2,0,0,1,-1,0,0,0,0,0,0,0,0
2015,3,QB,joe-flacco-flaccjo01,Joe Flacco,BAL,CIN,home,24.00,49,32,362,2,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,eli-manning-manniel01,Eli Manning,NYG,WAS,home,23.00,32,23,279,2,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,josh-mccown-mccowjo01,Josh McCown,CLE,OAK,home,23.00,49,28,341,2,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,peyton-manning-mannipe01,Peyton Manning,DEN,DET,away,22.00,42,31,324,2,1,0,1,-1,0,0,0,0,0,0,0,0
2015,3,QB,marcus-mariota-marioma01,Marcus Mariota,TEN,IND,home,22.00,44,27,367,2,2,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,carson-palmer-palmeca01,Carson Palmer,ARI,SF,home,22.00,32,20,311,2,1,0,1,1,0,0,0,0,0,0,0,0
2015,3,QB,andrew-luck-luckan01,Andrew Luck,IND,TEN,away,20.00,30,18,260,2,2,0,6,21,0,0,0,0,0,0,0,0
2015,3,QB,alex-smith-smithal04,Alex Smith,KC,GB,away,20.00,40,24,290,1,1,1,6,33,0,0,0,0,0,0,0,0
2015,3,QB,blake-bortles-bortlbl01,Blake Bortles,JAX,NE,away,19.00,33,17,242,2,1,0,3,7,0,0,0,0,0,0,0,0
2015,3,QB,ryan-tannehill-tannery01,Ryan Tannehill,MIA,BUF,home,19.00,49,26,297,2,3,1,1,-1,0,0,0,0,0,0,0,0
2015,3,QB,ryan-fitzpatrick-fitzpry01,Ryan Fitzpatrick,NYJ,PHI,home,18.00,58,35,283,2,3,0,4,13,0,0,0,0,0,0,0,0
2015,3,QB,russell-wilson-wilsoru01,Russell Wilson,SEA,CHI,home,17.00,30,20,235,1,0,0,6,28,0,0,0,0,0,0,0,0
2015,3,QB,kirk-cousins-cousiki01,Kirk Cousins,WAS,NYG,away,16.00,49,30,316,1,2,1,0,0,0,0,0,0,0,0,0,0
2015,3,QB,jameis-winston-winstja01,Jameis Winston,TB,HOU,away,14.00,36,17,261,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,ryan-mallett-mallery01,Ryan Mallett,TB,HOU,away,13.00,39,24,228,1,1,0,1,-1,0,0,0,0,0,0,0,0
2015,3,QB,philip-rivers-riverph01,Philip Rivers,SD,MIN,away,12.00,34,21,246,1,1,0,0,0,0,0,0,0,0,0,1,0
2015,3,QB,matthew-stafford-staffma01,Matthew Stafford,DET,DEN,home,12.00,45,31,282,1,2,0,1,-1,0,0,1,-6,0,0,1,0
2015,3,QB,sam-bradford-bradfsa01,Sam Bradford,PHI,NYJ,away,10.00,28,14,118,1,0,0,3,-2,0,0,0,0,0,0,0,0
2015,3,QB,luke-mccown-mccowlu01,Luke McCown,NO,CAR,away,10.00,38,31,310,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,kellen-clemens-clemeke01,Kellen Clemens,SD,MIN,away,8.00,6,5,63,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,brandon-weeden-weedebr01,Brandon Weeden,ATL,DAL,away,7.00,26,22,232,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,nick-foles-folesni01,Nick Foles,STL,PIT,home,6.00,28,19,197,0,1,0,1,10,0,0,0,0,0,0,0,0
2015,3,QB,ben-roethlisberger-roethbe01,Ben Roethlisberger,PIT,STL,away,5.00,24,20,192,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,3,QB,colin-kaepernick-kaepeco01,Colin Kaepernick,SF,ARI,away,4.00,19,9,67,0,4,0,7,46,1,0,0,0,0,0,0,0
2015,3,QB,jimmy-clausen-clausji01,Jimmy Clausen,CHI,SEA,away,3.00,17,9,63,0,0,0,3,13,0,0,0,0,0,0,0,0
2015,3,QB,teddy-bridgewater-bridgte01,Teddy Bridgewater,MIN,SD,home,2.00,24,13,121,0,1,0,1,-1,0,0,0,0,0,0,0,0
2015,3,QB,michael-vick-vickmi01,Michael Vick,PIT,STL,away,1.00,6,5,38,0,0,0,2,-2,0,0,0,0,0,0,0,0
2015,3,QB,jimmy-garoppolo-garopji01,Jimmy Garoppolo,NE,JAX,home,0.00,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0
2015,3,QB,ej-manuel-manueej01,E.J. Manuel,BUF,MIA,away,0.00,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0
2015,3,QB,drew-stanton-stantdr01,Drew Stanton,ARI,SF,home,0.00,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0
