year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2021,8,K,zane-gonzalez-gonzaza01,Zane Gonzalez,CAR,ATL,away,17.00,1,1,4,4,2
2021,8,K,joey-slye-slyejo01,Joey Slye,SF,CHI,away,15.00,2,1,5,4,1
2021,8,K,jake-elliott-ellioja04,Jake Elliott,PHI,DET,away,14.00,5,5,3,3,0
2021,8,K,nick-folk-folkni01,Nick Folk,NE,LAC,away,13.00,1,1,4,4,0
2021,8,K,brian-johnson-johnsbr18,Brian Johnson,TB,NO,away,12.00,4,3,3,3,0
2021,8,K,tyler-bass-bassty01,Tyler Bass,BUF,MIA,home,10.00,2,2,2,2,1
2021,8,K,randy-bullock-bullora01,Randy Bullock,TEN,IND,away,10.00,4,4,2,2,0
2021,8,K,greg-joseph-josepgr01,Greg Joseph,MIN,DAL,home,10.00,1,1,3,3,0
2021,8,K,cairo-santos-santoca01,Cairo Santos,CHI,SF,home,10.00,2,1,3,3,0
2021,8,K,younghoe-koo-kooyo01,Younghoe Koo,ATL,CAR,home,9.00,1,1,3,2,1
2021,8,K,matt-ammendola-ammenma01,Matt Ammendola,NYJ,CIN,home,8.00,2,2,3,2,0
2021,8,K,harrison-butker-butkeha01,Harrison Butker,KC,NYG,home,8.00,2,2,2,2,0
2021,8,K,matt-gay-gayma02,Matt Gay,LA,HOU,away,8.00,5,5,1,1,0
2021,8,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,DAL,MIN,away,8.00,2,2,3,2,0
2021,8,K,michael-badgley-badglmi01,Michael Badgley,IND,TEN,home,7.00,4,4,1,1,0
2021,8,K,evan-mcpherson-mcpheev01,Evan McPherson,CIN,NYJ,away,7.00,4,4,1,1,0
2021,8,K,jason-myers-myersja02,Jason Myers,SEA,JAX,home,7.00,4,4,1,1,0
2021,8,K,chris-blewitt-blewich01,Chris Blewitt,WAS,DEN,away,6.00,1,1,3,1,1
2021,8,K,mason-crosby-crosbma01,Mason Crosby,GB,ARI,away,6.00,3,3,1,1,0
2021,8,K,dustin-hopkins-hopkidu01,Dustin Hopkins,LAC,NE,home,6.00,3,3,1,1,0
2021,8,K,graham-gano-ganogr01,Graham Gano,NYG,KC,away,5.00,2,2,1,1,0
2021,8,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,WAS,home,5.00,2,2,2,1,0
2021,8,K,jason-sanders-sandeja03,Jason Sanders,MIA,BUF,away,5.00,0,0,2,1,1
2021,8,K,chase-mclaughlin-mclauch02,Chase McLaughlin,CLE,PIT,home,4.00,1,1,1,1,0
2021,8,K,chris-boswell-boswech01,Chris Boswell,PIT,CLE,away,3.00,0,0,1,1,0
2021,8,K,matt-prater-pratema01,Matt Prater,ARI,GB,home,3.00,3,3,0,0,0
2021,8,K,ryan-succop-succory01,Ryan Succop,TB,NO,away,3.00,3,3,0,0,0
2021,8,K,kaimi-fairbairn-fairbka01,Ka'imi Fairbairn,HOU,LA,home,2.00,2,2,1,0,0
2021,8,K,matthew-wright-wrighma04,Matthew Wright,JAX,SEA,away,1.00,1,1,0,0,0
2021,8,K,austin-seibert-seibeau01,Austin Seibert,DET,PHI,home,0.00,0,0,1,0,0
