year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2012,14,K,stephen-hauschka-hauscst01,Stephen Hauschka,SEA,ARI,home,16.00,7,7,3,3,0
2012,14,K,josh-brown-brownjo05,Josh Brown,CIN,DAL,home,15.00,1,1,4,4,1
2012,14,K,matt-prater-pratema01,Matt Prater,DEN,OAK,away,14.00,2,2,4,4,0
2012,14,K,phil-dawson-dawsoph01,Phil Dawson,CLE,KC,home,12.00,3,3,3,3,0
2012,14,K,graham-gano-ganogr01,Graham Gano,ATL,CAR,away,12.00,3,3,3,3,0
2012,14,K,nick-novak-novakni01,Nick Novak,SD,PIT,away,12.00,4,4,2,2,1
2012,14,K,rob-bironas-bironro01,Rob Bironas,TEN,IND,away,11.00,2,2,4,3,0
2012,14,K,kai-forbath-forbaka01,Kai Forbath,BAL,WAS,away,11.00,2,2,3,3,0
2012,14,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,TEN,home,11.00,3,3,2,2,1
2012,14,K,lawrence-tynes-tynesla01,Lawrence Tynes,NYG,NO,home,10.00,7,7,2,1,0
2012,14,K,david-akers-akersda01,David Akers,SF,MIA,home,9.00,3,3,2,2,0
2012,14,K,dan-carpenter-carpeda01,Dan Carpenter,MIA,SF,away,9.00,1,1,2,2,1
2012,14,K,mason-crosby-crosbma01,Mason Crosby,GB,DET,home,9.00,3,3,3,2,0
2012,14,K,garrett-hartley-hartlga01,Garrett Hartley,NO,NYG,away,9.00,3,3,2,2,0
2012,14,K,dan-bailey-baileda04,Dan Bailey,DAL,CIN,away,8.00,2,2,2,2,0
2012,14,K,jason-hanson-hansoja01,Jason Hanson,DET,GB,away,8.00,2,2,3,2,0
2012,14,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,HOU,home,6.00,6,6,0,0,0
2012,14,K,rian-lindell-linderi01,Rian Lindell,BUF,STL,home,6.00,0,0,2,2,0
2012,14,K,shaun-suisham-suishsh01,Shaun Suisham,PIT,SD,home,6.00,3,3,1,1,0
2012,14,K,nick-folk-folkni01,Nick Folk,NYJ,JAX,away,5.00,2,2,1,1,0
2012,14,K,alex-henery-heneral01,Alex Henery,PHI,TB,away,5.00,2,2,3,1,0
2012,14,K,josh-scobee-scobejo02,Josh Scobee,JAX,NYJ,home,4.00,1,1,2,1,0
2012,14,K,justin-tucker-tuckeju01,Justin Tucker,BAL,WAS,away,4.00,4,4,0,0,0
2012,14,K,connor-barth-barthco01,Connor Barth,TB,PHI,home,3.00,3,3,0,0,0
2012,14,K,blair-walsh-walshbl01,Blair Walsh,MIN,CHI,home,3.00,3,3,0,0,0
2012,14,K,matt-bryant-bryanma01,Matt Bryant,ATL,CAR,away,2.00,2,2,0,0,0
2012,14,K,robbie-gould-gouldro01,Robbie Gould,CHI,MIN,away,2.00,2,2,0,0,0
2012,14,K,shayne-graham-grahash01,Shayne Graham,HOU,NE,away,2.00,2,2,0,0,0
2012,14,K,sebastian-janikowski-janikse01,Sebastian Janikowski,OAK,DEN,home,1.00,1,1,0,0,0
2012,14,K,ryan-succop-succory01,Ryan Succop,KC,CLE,away,1.00,1,1,1,0,0
2012,14,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,STL,BUF,away,1.00,1,1,0,0,0
