year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2019,12,RB,leonard-fournette-fournle01,Leonard Fournette,JAX,TEN,away,27.00,0,0,0,0,0,0,24,97,2,0,9,62,0,0,0,0
2019,12,RB,derrick-henry-henryde01,Derrick Henry,TEN,JAX,home,27.00,0,0,0,0,0,0,19,159,2,0,1,16,0,0,1,0
2019,12,RB,christian-mccaffrey-mccafch01,Christian McCaffrey,CAR,NO,away,24.00,0,0,0,0,0,0,22,64,1,0,9,69,1,0,0,0
2019,12,RB,mark-ingram-ingrama02,Mark Ingram,BAL,LA,away,23.00,0,0,0,0,0,0,15,111,1,0,1,7,1,0,0,0
2019,12,RB,nick-chubb-chubbni01,Nick Chubb,CLE,MIA,home,21.00,0,0,0,0,0,0,21,106,1,0,3,58,0,0,0,0
2019,12,RB,rashaad-penny-pennyra01,Rashaad Penny,SEA,PHI,away,18.00,0,0,0,0,0,0,14,129,1,0,0,0,0,0,0,0
2019,12,RB,jonathan-williams-willijo26,Jonathan Williams,IND,HOU,away,17.00,0,0,0,0,0,0,26,104,1,0,3,17,0,0,0,0
2019,12,RB,ezekiel-elliott-ellioez01,Ezekiel Elliott,DAL,NE,away,12.00,0,0,0,0,0,0,21,86,0,0,4,40,0,0,0,0
2019,12,RB,ronald-jones-jonesro13,Ronald Jones II,TB,ATL,away,12.00,0,0,0,0,0,0,12,51,1,0,3,16,0,0,0,0
2019,12,RB,raheem-mostert-mostera01,Raheem Mostert,SF,GB,home,12.00,0,0,0,0,0,0,6,45,1,0,1,22,0,0,0,0
2019,12,RB,latavius-murray-murrala01,Latavius Murray,NO,CAR,home,12.00,0,0,0,0,0,0,7,64,1,0,0,0,0,0,0,0
2019,12,RB,tevin-coleman-colemte01,Tevin Coleman,SF,GB,home,10.00,0,0,0,0,0,0,11,39,1,0,2,10,0,0,0,0
2019,12,RB,devin-singletary-singlde01,Devin Singletary,BUF,DEN,home,10.00,0,0,0,0,0,0,21,106,0,0,1,8,0,0,0,0
2019,12,RB,leveon-bell-bellle02,Le'Veon Bell,NYJ,OAK,home,9.00,0,0,0,0,0,0,12,49,0,0,5,59,0,0,0,0
2019,12,RB,kareem-hunt-huntka01,Kareem Hunt,CLE,MIA,home,9.00,0,0,0,0,0,0,8,37,1,0,2,9,0,0,0,0
2019,12,RB,alvin-kamara-kamaral01,Alvin Kamara,NO,CAR,home,9.00,0,0,0,0,0,0,11,54,0,0,9,48,0,0,0,0
2019,12,RB,benjamin-snell-snellbe02,Benjamin Snell,PIT,CIN,away,9.00,0,0,0,0,0,0,21,98,0,0,1,5,0,0,0,0
2019,12,RB,sony-michel-micheso01,Sony Michel,NE,DAL,home,8.00,0,0,0,0,0,0,20,85,0,0,0,0,0,0,0,0
2019,12,RB,qadree-ollison-ollisqa01,Qadree Ollison,ATL,TB,home,8.00,0,0,0,0,0,0,8,20,1,0,1,7,0,0,0,0
2019,12,RB,miles-sanders-sandemi01,Miles Sanders,PHI,SEA,home,8.00,0,0,0,0,0,0,12,63,0,0,3,23,0,0,0,0
2019,12,RB,bo-scarbrough-scarbbo01,Bo Scarbrough,DET,WAS,away,8.00,0,0,0,0,0,0,18,98,0,0,0,0,0,0,1,0
2019,12,RB,joe-mixon-mixonjo01,Joe Mixon,CIN,PIT,home,7.00,0,0,0,0,0,0,18,79,0,0,0,0,0,0,0,0
2019,12,RB,jamaal-williams-willija32,Jamaal Williams,GB,SF,away,7.00,0,0,0,0,0,0,11,45,0,0,7,35,0,0,0,0
2019,12,RB,frank-gore-gorefr01,Frank Gore,BUF,DEN,home,6.00,0,0,0,0,0,0,15,65,0,0,0,0,0,0,0,0
2019,12,RB,nyheim-hines-hinesny01,Nyheim Hines,IND,HOU,away,6.00,0,0,0,0,0,0,9,51,0,0,2,10,0,0,0,0
2019,12,RB,carlos-hyde-hydeca01,Carlos Hyde,IND,HOU,away,6.00,0,0,0,0,0,0,16,67,0,0,0,0,0,0,0,0
2019,12,RB,phillip-lindsay-lindsph01,Phillip Lindsay,DEN,BUF,away,6.00,0,0,0,0,0,0,13,57,0,0,1,11,0,0,0,0
2019,12,RB,saquon-barkley-barklsa01,Saquon Barkley,NYG,CHI,away,5.00,0,0,0,0,0,0,17,59,0,0,2,1,0,0,0,0
2019,12,RB,chris-carson-carsoch01,Chris Carson,SEA,PHI,away,5.00,0,0,0,0,0,0,8,26,0,0,4,31,0,0,0,0
2019,12,RB,gus-edwards-edwargu01,Gus Edwards,BAL,LA,away,5.00,0,0,0,0,0,0,14,55,0,0,0,0,0,0,0,0
2019,12,RB,tarik-cohen-cohenta01,Tarik Cohen,CHI,NYG,home,4.00,0,0,0,0,0,0,6,25,0,0,7,29,0,0,0,0
2019,12,RB,dion-lewis-lewisdi01,Dion Lewis,TEN,JAX,home,4.00,0,0,0,0,0,0,5,21,0,0,1,24,0,0,0,0
2019,12,RB,adrian-peterson-peterad02,Adrian Peterson,WAS,DET,home,4.00,0,0,0,0,0,0,10,27,0,0,1,22,0,0,0,0
2019,12,RB,jalen-richard-richaja09,Jalen Richard,OAK,NYJ,away,4.00,0,0,0,0,0,0,2,4,0,0,6,47,0,0,0,0
2019,12,RB,kerrith-whyte-whyteke01,Kerrith Whyte,PIT,CIN,away,4.00,0,0,0,0,0,0,6,43,0,0,0,0,0,0,0,0
2019,12,RB,peyton-barber-barbepe01,Peyton Barber,TB,ATL,away,3.00,0,0,0,0,0,0,11,32,0,0,0,0,0,0,0,0
2019,12,RB,giovani-bernard-bernagi01,Giovani Bernard,CIN,PIT,home,3.00,0,0,0,0,0,0,1,-1,0,0,3,31,0,0,0,0
2019,12,RB,derrius-guice-guicede01,Derrius Guice,WAS,DET,home,3.00,0,0,0,0,0,0,10,32,0,0,1,6,0,0,0,0
2019,12,RB,josh-jacobs-jacobjo05,Josh Jacobs,OAK,NYJ,away,3.00,0,0,0,0,0,0,10,34,0,0,1,2,0,0,0,0
2019,12,RB,aaron-jones-jonesaa02,Aaron Jones,GB,SF,away,3.00,0,0,0,0,0,0,13,38,0,0,0,0,0,0,0,0
