year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2017,16,K,harrison-butker-butkeha01,Harrison Butker,MIA,KC,away,17.00,2,2,6,5,0
2017,16,K,dan-bailey-baileda04,Dan Bailey,DAL,SEA,home,16.00,0,0,6,4,2
2017,16,K,randy-bullock-bullora01,Randy Bullock,CIN,DET,home,16.00,2,2,4,4,1
2017,16,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,BUF,home,13.00,4,4,3,3,0
2017,16,K,patrick-murray-murrapa02,Patrick Murray,TB,CAR,away,13.00,1,1,5,4,0
2017,16,K,wil-lutz-lutzwi01,Wil Lutz,NO,ATL,home,11.00,2,2,3,3,0
2017,16,K,ryan-succop-succory01,Ryan Succop,TEN,LA,home,11.00,2,2,4,3,0
2017,16,K,justin-tucker-tuckeju01,Justin Tucker,BAL,IND,home,11.00,2,2,3,3,0
2017,16,K,chris-boswell-boswech01,Chris Boswell,PIT,HOU,away,10.00,4,4,2,2,0
2017,16,K,kai-forbath-forbaka01,Kai Forbath,MIN,GB,away,10.00,1,1,3,3,0
2017,16,K,graham-gano-ganogr01,Graham Gano,CAR,TB,home,10.00,2,1,3,3,0
2017,16,K,stephen-hauschka-hauscst01,Stephen Hauschka,BUF,NE,away,10.00,1,1,4,3,0
2017,16,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,BAL,away,10.00,1,1,5,3,0
2017,16,K,dustin-hopkins-hopkidu01,Dustin Hopkins,WAS,DEN,home,9.00,3,3,2,2,0
2017,16,K,robbie-gould-gouldro01,Robbie Gould,SF,JAX,home,8.00,6,5,1,1,0
2017,16,K,matt-bryant-bryanma01,Matt Bryant,ATL,NO,away,7.00,1,1,2,2,0
2017,16,K,jake-elliott-ellioja04,Jake Elliott,OAK,PHI,away,7.00,1,1,3,2,0
2017,16,K,cody-parkey-parkeco02,Cody Parkey,MIA,KC,away,7.00,1,1,3,2,0
2017,16,K,phil-dawson-dawsoph01,Phil Dawson,ARI,NYG,home,5.00,3,2,1,1,0
2017,16,K,josh-lambo-lambojo01,Josh Lambo,JAX,SF,away,5.00,3,2,1,1,0
2017,16,K,matt-prater-pratema01,Matt Prater,DET,CIN,away,5.00,2,2,2,1,0
2017,16,K,giorgio-tavecchio-tavecgi01,Giorgio Tavecchio,OAK,PHI,away,4.00,1,1,2,1,0
2017,16,K,sam-ficken-fickesa01,Sam Ficken,LA,TEN,away,3.00,4,3,1,0,0
2017,16,K,zane-gonzalez-gonzaza01,Zane Gonzalez,CLE,CHI,away,3.00,0,0,1,1,0
2017,16,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,WAS,away,3.00,0,0,1,1,0
2017,16,K,blair-walsh-walshbl01,Blair Walsh,SEA,DAL,away,3.00,3,3,0,0,0
2017,16,K,mike-nugent-nugenmi01,Mike Nugent,CHI,CLE,home,2.00,3,2,0,0,0
2017,16,K,nick-rose-roseni01,Nick Rose,LAC,NYJ,away,2.00,2,2,1,0,0
2017,16,K,chandler-catanzaro-catanch01,Chandler Catanzaro,NYJ,LAC,home,1.00,1,1,0,0,0
2017,16,K,aldrick-rosas-rosasal01,Aldrick Rosas,NYG,ARI,away,0.00,0,0,1,0,0
