year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2021,1,TE,rob-gronkowski-gronkro01,Rob Gronkowski,TB,DAL,home,21.00,0,0,0,0,0,0,0,0,0,0,8,90,2,0,0,0
2021,1,TE,travis-kelce-kelcetr01,Travis Kelce,KC,CLE,home,19.00,0,0,0,0,0,0,0,0,0,0,6,76,2,0,0,0
2021,1,TE,tj-hockenson-hocketj01,T.J. Hockenson,DET,SF,home,17.00,0,0,0,0,0,0,0,0,0,0,8,97,1,1,0,0
2021,1,TE,darren-waller-walleda01,Darren Waller,LV,BAL,home,16.00,0,0,0,0,0,0,0,0,0,0,10,105,1,0,0,0
2021,1,TE,juwan-johnson-johnsju04,Juwan Johnson,NO,GB,home,14.00,0,0,0,0,0,0,0,0,0,0,3,21,2,0,0,0
2021,1,TE,dallas-goedert-goededa01,Dallas Goedert,PHI,ATL,away,10.00,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0
2021,1,TE,logan-thomas-thomalo01,Logan Thomas,WAS,LAC,home,9.00,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
2021,1,TE,gerald-everett-everege01,Gerald Everett,SEA,IND,away,8.00,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
2021,1,TE,chris-manhertz-manhech01,Chris Manhertz,JAX,HOU,away,8.00,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
2021,1,TE,george-kittle-kittlge01,George Kittle,SF,DET,away,7.00,0,0,0,0,0,0,0,0,0,0,4,78,0,0,0,0
2021,1,TE,david-njoku-njokuda01,David Njoku,CLE,KC,away,7.00,0,0,0,0,0,0,0,0,0,0,3,76,0,0,0,0
2021,1,TE,pharaoh-brown-brownph03,Pharaoh Brown,HOU,JAX,home,6.00,0,0,0,0,0,0,0,0,0,0,4,67,0,0,0,0
2021,1,TE,noah-fant-fantno01,Noah Fant,DEN,NYG,away,6.00,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0
2021,1,TE,tyler-higbee-higbety01,Tyler Higbee,LA,CHI,home,6.00,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
