year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2013,7,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,DEN,home,15.00,4,4,3,3,1
2013,7,K,graham-gano-ganogr01,Graham Gano,CAR,STL,home,14.00,3,3,3,3,1
2013,7,K,shaun-suisham-suishsh01,Shaun Suisham,PIT,BAL,home,13.00,1,1,4,4,0
2013,7,K,jay-feely-feelyja01,Jay Feely,ARI,SEA,home,12.00,1,1,3,3,1
2013,7,K,nick-folk-folkni01,Nick Folk,NYJ,NE,home,12.00,3,3,3,3,0
2013,7,K,stephen-hauschka-hauscst01,Stephen Hauschka,SEA,ARI,away,12.00,4,4,2,2,1
2013,7,K,josh-brown-brownjo05,Josh Brown,NYG,MIN,home,11.00,2,2,3,3,0
2013,7,K,dan-carpenter-carpeda01,Dan Carpenter,BUF,MIA,away,11.00,2,2,3,3,0
2013,7,K,robbie-gould-gouldro01,Robbie Gould,CHI,WAS,away,11.00,5,5,3,2,0
2013,7,K,rian-lindell-linderi01,Rian Lindell,TB,ATL,away,11.00,2,2,3,3,0
2013,7,K,mike-nugent-nugenmi01,Mike Nugent,CIN,DET,away,11.00,3,3,3,2,1
2013,7,K,randy-bullock-bullora01,Randy Bullock,HOU,KC,away,10.00,1,1,3,3,0
2013,7,K,justin-tucker-tuckeju01,Justin Tucker,BAL,PIT,away,10.00,1,1,3,3,0
2013,7,K,kai-forbath-forbaka01,Kai Forbath,WAS,CHI,home,9.00,6,6,1,1,0
2013,7,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,NYJ,away,9.00,3,3,2,2,0
2013,7,K,matt-prater-pratema01,Matt Prater,DEN,IND,away,9.00,3,3,2,2,0
2013,7,K,matt-bryant-bryanma01,Matt Bryant,ATL,TB,home,7.00,4,4,1,1,0
2013,7,K,mason-crosby-crosbma01,Mason Crosby,GB,CLE,home,7.00,4,4,2,1,0
2013,7,K,billy-cundiff-cundibi01,Billy Cundiff,CLE,GB,away,7.00,1,1,2,2,0
2013,7,K,phil-dawson-dawsoph01,Phil Dawson,SF,TEN,away,7.00,4,4,1,1,0
2013,7,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,STL,CAR,away,7.00,1,1,2,2,0
2013,7,K,david-akers-akersda01,David Akers,DET,CIN,home,6.00,3,3,2,1,0
2013,7,K,nick-novak-novakni01,Nick Novak,SD,JAX,away,6.00,3,3,1,1,0
2013,7,K,josh-scobee-scobejo02,Josh Scobee,JAX,SD,home,6.00,0,0,2,2,0
2013,7,K,dan-bailey-baileda04,Dan Bailey,DAL,PHI,away,5.00,2,2,1,1,0
2013,7,K,rob-bironas-bironro01,Rob Bironas,TEN,SF,home,5.00,2,2,1,1,0
2013,7,K,ryan-succop-succory01,Ryan Succop,KC,HOU,home,5.00,2,2,1,1,0
2013,7,K,alex-henery-heneral01,Alex Henery,PHI,DAL,home,3.00,0,0,2,1,0
2013,7,K,caleb-sturgis-sturgca01,Caleb Sturgis,MIA,BUF,home,3.00,3,3,1,0,0
2013,7,K,blair-walsh-walshbl01,Blair Walsh,MIN,NYG,away,1.00,1,1,1,0,0
