year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2018,2,K,mason-crosby-crosbma01,Mason Crosby,GB,MIN,home,17.00,2,2,6,5,0
2018,2,K,robbie-gould-gouldro01,Robbie Gould,SF,DET,home,12.00,3,3,3,3,0
2018,2,K,randy-bullock-bullora01,Randy Bullock,CIN,BAL,home,10.00,4,4,2,2,0
2018,2,K,dustin-hopkins-hopkidu01,Dustin Hopkins,WAS,IND,home,9.00,0,0,4,3,0
2018,2,K,matt-prater-pratema01,Matt Prater,DET,SF,away,9.00,3,3,2,2,0
2018,2,K,graham-gano-ganogr01,Graham Gano,CAR,ATL,away,8.00,3,3,1,1,1
2018,2,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,JAX,away,8.00,2,2,3,2,0
2018,2,K,stephen-hauschka-hauscst01,Stephen Hauschka,BUF,LAC,home,8.00,2,2,2,2,0
2018,2,K,brett-maher-maherbr02,Brett Maher,DAL,NYG,home,8.00,2,2,2,2,0
2018,2,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,OAK,home,8.00,2,2,2,2,0
2018,2,K,jason-myers-myersja02,Jason Myers,MIA,NYJ,away,8.00,1,0,2,2,1
2018,2,K,ryan-succop-succory01,Ryan Succop,TEN,HOU,home,8.00,2,2,2,2,0
2018,2,K,matt-bryant-bryanma01,Matt Bryant,ATL,CAR,home,7.00,4,4,1,1,0
2018,2,K,sebastian-janikowski-janikse01,Sebastian Janikowski,SEA,CHI,away,7.00,2,2,1,1,1
2018,2,K,josh-lambo-lambojo01,Josh Lambo,JAX,NE,home,7.00,4,4,1,1,0
2018,2,K,wil-lutz-lutzwi01,Wil Lutz,NO,CLE,home,7.00,1,1,3,2,0
2018,2,K,mike-nugent-nugenmi01,Mike Nugent,OAK,DEN,away,7.00,2,1,2,2,0
2018,2,K,aldrick-rosas-rosasal01,Aldrick Rosas,NYG,DAL,away,7.00,1,1,2,2,0
2018,2,K,caleb-sturgis-sturgca01,Caleb Sturgis,LAC,BUF,away,7.00,4,4,1,1,0
2018,2,K,justin-tucker-tuckeju01,Justin Tucker,BAL,CIN,away,7.00,2,2,1,1,1
2018,2,K,harrison-butker-butkeha01,Harrison Butker,KC,PIT,away,6.00,6,6,0,0,0
2018,2,K,zane-gonzalez-gonzaza01,Zane Gonzalez,CLE,NO,away,6.00,2,0,4,2,0
2018,2,K,cody-parkey-parkeco02,Cody Parkey,CHI,SEA,home,6.00,3,3,1,1,0
2018,2,K,kaimi-fairbairn-fairbka01,Ka'imi Fairbairn,HOU,TEN,away,5.00,2,2,2,1,0
2018,2,K,chris-boswell-boswech01,Chris Boswell,PIT,KC,home,3.00,4,3,1,0,0
2018,2,K,daniel-carlson-carlsda01,Daniel Carlson,MIN,GB,away,3.00,3,3,3,0,0
2018,2,K,chandler-catanzaro-catanch01,Chandler Catanzaro,PHI,TB,away,3.00,4,3,0,0,0
2018,2,K,jake-elliott-ellioja04,Jake Elliott,PHI,TB,away,3.00,3,3,1,0,0
2018,2,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,WAS,away,3.00,3,3,0,0,0
2018,2,K,jason-sanders-sandeja03,Jason Sanders,MIA,NYJ,away,2.00,3,2,0,0,0
