year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2018,14,K,michael-badgley-badglmi01,Michael Badgley,LAC,CIN,home,16.00,2,2,4,4,1
2018,14,K,brett-maher-maherbr02,Brett Maher,DAL,PHI,home,13.00,2,2,4,3,1
2018,14,K,mason-crosby-crosbma01,Mason Crosby,GB,ATL,home,12.00,4,4,2,2,1
2018,14,K,stephen-hauschka-hauscst01,Stephen Hauschka,BUF,NYJ,home,11.00,2,2,5,3,0
2018,14,K,aldrick-rosas-rosasal01,Aldrick Rosas,NYG,WAS,away,10.00,5,4,2,2,0
2018,14,K,randy-bullock-bullora01,Randy Bullock,CIN,LAC,away,9.00,0,0,3,3,0
2018,14,K,harrison-butker-butkeha01,Harrison Butker,KC,BAL,home,9.00,3,3,4,2,0
2018,14,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,MIA,away,9.00,4,3,3,2,0
2018,14,K,jason-myers-myersja02,Jason Myers,NYJ,BUF,away,9.00,3,3,2,2,0
2018,14,K,chandler-catanzaro-catanch01,Chandler Catanzaro,CAR,CLE,away,8.00,2,2,2,2,0
2018,14,K,robbie-gould-gouldro01,Robbie Gould,SF,DEN,home,8.00,2,2,2,2,0
2018,14,K,greg-joseph-josepgr01,Greg Joseph,CAR,CLE,away,8.00,3,2,2,2,0
2018,14,K,wil-lutz-lutzwi01,Wil Lutz,NO,TB,away,8.00,2,2,2,2,0
2018,14,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,HOU,away,8.00,3,3,1,1,1
2018,14,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,LA,CHI,away,8.00,0,0,3,2,1
2018,14,K,sebastian-janikowski-janikse01,Sebastian Janikowski,SEA,MIN,home,7.00,1,1,2,2,0
2018,14,K,cody-parkey-parkeco02,Cody Parkey,CHI,LA,home,7.00,1,1,3,2,0
2018,14,K,daniel-carlson-carlsda01,Daniel Carlson,OAK,PIT,home,6.00,3,3,1,1,0
2018,14,K,ryan-succop-succory01,Ryan Succop,TEN,JAX,home,6.00,4,3,1,1,0
2018,14,K,justin-tucker-tuckeju01,Justin Tucker,BAL,KC,away,6.00,3,3,1,1,0
2018,14,K,jake-elliott-ellioja04,Jake Elliott,PHI,DAL,away,5.00,3,2,1,1,0
2018,14,K,matt-prater-pratema01,Matt Prater,DET,ARI,away,5.00,2,2,1,1,0
2018,14,K,jason-sanders-sandeja03,Jason Sanders,MIA,NE,home,4.00,4,4,0,0,0
2018,14,K,chris-boswell-boswech01,Chris Boswell,PIT,OAK,away,3.00,3,3,2,0,0
2018,14,K,kaimi-fairbairn-fairbka01,Ka'imi Fairbairn,HOU,IND,home,3.00,3,3,0,0,0
2018,14,K,zane-gonzalez-gonzaza01,Zane Gonzalez,ARI,DET,home,3.00,0,0,2,1,0
2018,14,K,matt-bryant-bryanma01,Matt Bryant,ATL,GB,away,2.00,3,2,1,0,0
2018,14,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,SF,away,2.00,2,2,0,0,0
2018,14,K,cairo-santos-santoca01,Cairo Santos,TB,NO,home,2.00,2,2,2,0,0
2018,14,K,dan-bailey-baileda04,Dan Bailey,MIN,SEA,away,1.00,1,1,1,0,0
2018,14,K,josh-lambo-lambojo01,Josh Lambo,JAX,TEN,away,1.00,1,1,0,0,0
