year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2017,12,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,LA,NO,home,16.00,2,2,5,4,1
2017,12,K,phil-dawson-dawsoph01,Phil Dawson,ARI,JAX,home,15.00,1,1,4,4,1
2017,12,K,matt-prater-pratema01,Matt Prater,DET,MIN,home,13.00,2,2,3,3,1
2017,12,K,justin-tucker-tuckeju01,Justin Tucker,BAL,HOU,home,13.00,2,2,3,3,1
2017,12,K,randy-bullock-bullora01,Randy Bullock,CIN,CLE,home,12.00,3,3,3,3,0
2017,12,K,stephen-hauschka-hauscst01,Stephen Hauschka,BUF,KC,away,12.00,1,1,4,3,1
2017,12,K,matt-bryant-bryanma01,Matt Bryant,ATL,TB,home,10.00,4,4,2,2,0
2017,12,K,kaimi-fairbairn-fairbka01,Ka'imi Fairbairn,HOU,BAL,away,10.00,1,1,3,3,0
2017,12,K,zane-gonzalez-gonzaza01,Zane Gonzalez,CLE,CIN,away,10.00,1,1,4,3,0
2017,12,K,wil-lutz-lutzwi01,Wil Lutz,NO,LA,away,10.00,2,2,2,2,1
2017,12,K,adam-vinatieri-vinatad01,Adam Vinatieri,IND,TEN,home,10.00,1,1,3,3,0
2017,12,K,chandler-catanzaro-catanch01,Chandler Catanzaro,NYJ,CAR,home,9.00,3,3,2,2,0
2017,12,K,graham-gano-ganogr01,Graham Gano,CAR,NYJ,away,9.00,1,0,3,3,0
2017,12,K,patrick-murray-murrapa02,Patrick Murray,TB,ATL,away,8.00,2,2,2,2,0
2017,12,K,nick-rose-roseni01,Nick Rose,NYG,WAS,away,8.00,2,2,2,2,0
2017,12,K,ryan-succop-succory01,Ryan Succop,TEN,IND,away,8.00,2,2,2,2,0
2017,12,K,chris-boswell-boswech01,Chris Boswell,PIT,GB,home,7.00,3,2,1,1,1
2017,12,K,jake-elliott-ellioja04,Jake Elliott,CHI,PHI,away,7.00,4,4,1,1,0
2017,12,K,robbie-gould-gouldro01,Robbie Gould,SF,SEA,home,7.00,1,1,2,2,0
2017,12,K,kai-forbath-forbaka01,Kai Forbath,MIN,DET,away,6.00,4,3,2,1,0
2017,12,K,josh-lambo-lambojo01,Josh Lambo,JAX,ARI,away,6.00,3,3,1,1,0
2017,12,K,blair-walsh-walshbl01,Blair Walsh,SEA,SF,away,6.00,3,3,2,1,0
2017,12,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,NE,MIA,home,5.00,5,5,0,0,0
2017,12,K,cody-parkey-parkeco02,Cody Parkey,MIA,NE,away,5.00,2,2,1,1,0
2017,12,K,harrison-butker-butkeha01,Harrison Butker,BUF,KC,away,4.00,1,1,1,1,0
2017,12,K,mason-crosby-crosbma01,Mason Crosby,GB,PIT,away,4.00,4,4,1,0,0
2017,12,K,aldrick-rosas-rosasal01,Aldrick Rosas,NYG,WAS,away,4.00,1,1,1,1,0
2017,12,K,nick-novak-novakni01,Nick Novak,LAC,DAL,away,3.00,1,0,2,1,0
2017,12,K,cairo-santos-santoca01,Cairo Santos,CHI,PHI,away,3.00,0,0,2,1,0
2017,12,K,giorgio-tavecchio-tavecgi01,Giorgio Tavecchio,OAK,DEN,home,3.00,3,3,1,0,0
2017,12,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,OAK,away,2.00,2,2,0,0,0
