year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2019,6,WR,stefon-diggs-diggsst01,Stefon Diggs,MIN,PHI,home,35.00,0,0,0,0,0,0,2,18,0,0,7,167,3,0,0,0
2019,6,WR,terry-mclaurin-mclaute01,Terry McLaurin,WAS,MIA,away,22.00,0,0,0,0,0,0,0,0,0,0,4,100,2,0,0,0
2019,6,WR,tyreek-hill-hillty02,Tyreek Hill,KC,HOU,home,20.00,0,0,0,0,0,0,0,0,0,0,5,80,2,0,0,0
2019,6,WR,curtis-samuel-samuecu01,Curtis Samuel,CAR,TB,away,19.00,0,0,0,0,0,0,1,8,1,0,4,70,1,0,0,0
2019,6,WR,robby-anderson-anderro05,Robby Anderson,NYJ,DAL,home,18.00,0,0,0,0,0,0,0,0,0,0,5,125,1,0,0,0
2019,6,WR,golden-tate-tatego02,Golden Tate,NYG,NE,away,16.00,0,0,0,0,0,0,0,0,0,0,6,102,1,0,0,0
2019,6,WR,chris-godwin-godwich01,Chris Godwin,TB,CAR,home,15.00,0,0,0,0,0,0,0,0,0,0,10,151,0,0,0,0
2019,6,WR,jaron-brown-brownja12,Jaron Brown,SEA,CLE,away,14.00,0,0,0,0,0,0,0,0,0,0,3,29,2,0,0,0
2019,6,WR,alshon-jeffery-jeffeal01,Alshon Jeffery,PHI,MIN,away,13.00,0,0,0,0,0,0,0,0,0,0,10,76,1,0,0,0
2019,6,WR,kenny-golladay-gollake01,Kenny Golladay,DET,GB,away,12.00,0,0,0,0,0,0,0,0,0,0,5,121,0,0,0,0
2019,6,WR,allen-lazard-lazaral01,Allen Lazard,GB,DET,home,12.00,0,0,0,0,0,0,0,0,0,0,4,65,1,0,0,0
2019,6,WR,julian-edelman-edelmju01,Julian Edelman,NE,NYG,home,11.00,0,0,0,0,0,0,0,0,0,0,9,113,0,0,0,0
2019,6,WR,mike-evans-evansmi03,Mike Evans,TB,CAR,home,11.00,0,0,0,0,0,0,0,0,0,0,9,96,0,1,0,0
2019,6,WR,adam-thielen-thielad01,Adam Thielen,MIN,PHI,home,11.00,0,0,0,0,0,0,1,0,0,0,6,57,1,0,0,0
2019,6,WR,odell-beckham-beckhod01,Odell Beckham Jr.,CLE,SEA,home,10.00,0,0,0,0,0,0,0,0,0,0,6,101,0,0,0,0
2019,6,WR,julio-jones-jonesju05,Julio Jones,ATL,ARI,away,10.00,0,0,0,0,0,0,0,0,0,0,8,108,0,0,0,0
2019,6,WR,calvin-ridley-ridleca01,Calvin Ridley,ATL,ARI,away,10.00,0,0,0,0,0,0,0,0,0,0,4,48,1,0,0,0
2019,6,WR,jamison-crowder-crowdja01,Jamison Crowder,NYJ,DAL,home,9.00,0,0,0,0,0,0,0,0,0,0,6,98,0,0,0,0
2019,6,WR,auden-tate-tateau01,Auden Tate,CIN,BAL,away,9.00,0,0,0,0,0,0,0,0,0,0,5,91,0,0,0,0
2019,6,WR,dj-moore-mooredj02,D.J. Moore,CAR,TB,away,8.00,0,0,0,0,0,0,1,13,0,0,7,73,0,0,0,0
2019,6,WR,devante-parker-parkede02,DeVante Parker,MIA,WAS,home,8.00,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0
2019,6,WR,michael-thomas-thomami05,Michael Thomas,NO,JAX,away,8.00,0,0,0,0,0,0,0,0,0,0,8,89,0,0,0,0
2019,6,WR,deandre-hopkins-hopkide01,DeAndre Hopkins,HOU,KC,away,7.00,0,0,0,0,0,0,0,0,0,0,9,55,0,1,0,0
2019,6,WR,tyler-lockett-lockety01,Tyler Lockett,SEA,CLE,away,7.00,0,0,0,0,0,0,1,3,0,0,5,75,0,0,0,0
2019,6,WR,courtland-sutton-suttoco01,Courtland Sutton,DEN,TEN,home,7.00,0,0,0,0,0,0,0,0,0,0,4,76,0,0,0,0
2019,6,WR,mike-williams-willimi21,Mike Williams,LAC,PIT,home,7.00,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
2019,6,WR,robert-woods-woodsro06,Robert Woods,LA,SF,home,7.00,0,0,0,0,0,0,2,16,1,0,0,0,0,0,0,0
2019,6,WR,tavon-austin-austita01,Tavon Austin,DAL,NYJ,away,6.00,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0
2019,6,WR,damiere-byrd-byrdda03,Damiere Byrd,ARI,ATL,home,6.00,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0
2019,6,WR,larry-fitzgerald-fitzgla01,Larry Fitzgerald,ARI,ATL,home,6.00,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
2019,6,WR,dk-metcalf-metcadk01,D.K. Metcalf,SEA,CLE,away,6.00,0,0,0,0,0,0,1,4,0,0,4,69,0,0,0,0
2019,6,WR,demaryius-thomas-thomade05,Demaryius Thomas,DAL,NYJ,away,6.00,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0
2019,6,WR,alex-erickson-erickal01,Alex Erickson,CIN,BAL,away,5.00,0,0,0,0,0,0,1,17,0,0,4,47,0,0,0,0
2019,6,WR,marvin-hall-hallma06,Marvin Hall,DET,GB,away,5.00,0,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0
