year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pat_attempts,pat_made,field_goal_att,field_goal_made,field_goal_made_50_yards
2020,14,K,rodrigo-blankenship-blankro01,Rodrigo Blankenship,IND,LV,away,14.00,5,5,3,3,0
2020,14,K,mike-nugent-nugenmi01,Mike Nugent,ARI,NYG,away,14.00,2,2,4,4,0
2020,14,K,greg-zuerlein-zuerlgr01,Greg Zuerlein,DAL,CIN,away,14.00,3,3,3,3,1
2020,14,K,dustin-hopkins-hopkidu01,Dustin Hopkins,WAS,SF,away,13.00,2,2,4,3,1
2020,14,K,jason-myers-myersja02,Jason Myers,SEA,NYJ,home,10.00,5,4,2,2,0
2020,14,K,cairo-santos-santoca01,Cairo Santos,CHI,HOU,home,10.00,4,4,2,2,0
2020,14,K,daniel-carlson-carlsda01,Daniel Carlson,LV,IND,home,9.00,3,3,2,2,0
2020,14,K,mason-crosby-crosbma01,Mason Crosby,GB,DET,away,9.00,4,4,1,1,1
2020,14,K,stephen-gostkowski-gostkst01,Stephen Gostkowski,TEN,JAX,away,9.00,4,4,1,1,1
2020,14,K,jason-sanders-sandeja03,Jason Sanders,MIA,KC,home,9.00,3,3,3,2,0
2020,14,K,joey-slye-slyejo01,Joey Slye,CAR,DEN,home,9.00,3,3,2,2,0
2020,14,K,justin-tucker-tuckeju01,Justin Tucker,BAL,CLE,away,9.00,5,4,1,1,1
2020,14,K,michael-badgley-badglmi01,Michael Badgley,LAC,ATL,home,8.00,2,2,2,2,0
2020,14,K,tyler-bass-bassty01,Tyler Bass,BUF,PIT,home,8.00,3,2,2,2,0
2020,14,K,ryan-succop-succory01,Ryan Succop,TB,MIN,home,8.00,3,2,2,2,0
2020,14,K,harrison-butker-butkeha01,Harrison Butker,KC,MIA,away,7.00,4,4,1,1,0
2020,14,K,jake-elliott-ellioja04,Jake Elliott,PHI,NO,home,6.00,3,3,2,1,0
2020,14,K,matt-gay-gayma02,Matt Gay,LA,NE,home,6.00,3,3,1,1,0
2020,14,K,matt-prater-pratema01,Matt Prater,DET,GB,home,6.00,3,3,1,1,0
2020,14,K,aldrick-rosas-rosasal01,Aldrick Rosas,JAX,TEN,home,6.00,1,1,2,1,1
2020,14,K,younghoe-koo-kooyo01,Younghoe Koo,ATL,LAC,away,5.00,2,2,1,1,0
2020,14,K,cody-parkey-parkeco02,Cody Parkey,CLE,BAL,home,4.00,5,4,1,0,0
2020,14,K,sergio-castillo-castise01,Sergio Castillo,NYJ,SEA,away,3.00,0,0,4,1,0
2020,14,K,nick-folk-folkni01,Nick Folk,NE,LA,away,3.00,0,0,1,1,0
2020,14,K,wil-lutz-lutzwi01,Wil Lutz,NO,PHI,away,3.00,3,3,2,0,0
2020,14,K,brandon-mcmanus-mcmanbr01,Brandon McManus,DEN,CAR,away,2.00,4,2,0,0,0
2020,14,K,chris-boswell-boswech01,Chris Boswell,PIT,BUF,away,1.00,1,1,0,0,0
2020,14,K,kaimi-fairbairn-fairbka01,Ka'imi Fairbairn,HOU,CHI,away,1.00,1,1,0,0,0
2020,14,K,graham-gano-ganogr01,Graham Gano,NYG,ARI,home,1.00,1,1,0,0,0
2020,14,K,robbie-gould-gouldro01,Robbie Gould,SF,WAS,home,1.00,1,1,0,0,0
2020,14,K,austin-seibert-seibeau01,Austin Seibert,CIN,DAL,home,1.00,1,1,0,0,0
2020,14,K,dan-bailey-baileda04,Dan Bailey,MIN,TB,away,0.00,1,0,3,0,0
