year,week,position,player_code,player_name,team,opponent,home_away,fantasy_points,pass_attempts,pass_completions,pass_yards,pass_touchdowns,pass_interceptions,pass_2points,rush_attempts,rush_yards,rush_touchdowns,rush_2points,receptions,reception_yards,reception_touchdowns,reception_2points,fumbles_lost,fumble_recovery_touchdowns
2018,14,QB,tom-brady-bradyto01,Tom Brady,NE,MIA,away,32.00,43,27,358,3,0,0,1,3,0,0,0,0,0,0,0,0
2018,14,QB,dak-prescott-prescda01,Dak Prescott,DAL,PHI,home,31.00,54,42,455,3,2,0,4,2,0,0,0,0,0,0,1,0
2018,14,QB,ryan-tannehill-tannery01,Ryan Tannehill,MIA,NE,home,29.00,19,14,265,3,0,0,1,13,0,0,0,0,0,0,0,0
2018,14,QB,andrew-luck-luckan01,Andrew Luck,IND,HOU,away,26.00,41,27,399,2,1,0,6,16,0,0,0,0,0,0,0,0
2018,14,QB,matt-ryan-ryanma01,Matt Ryan,ATL,GB,away,26.00,42,28,262,3,1,0,1,0,0,0,0,0,0,0,0,0
2018,14,QB,carson-wentz-wentzca02,Carson Wentz,PHI,DAL,away,26.00,32,22,228,3,0,0,4,-3,0,0,0,0,0,0,1,0
2018,14,QB,josh-johnson-johnsjo14,Josh Johnson,WAS,NYG,home,25.00,16,11,195,1,1,2,7,45,1,0,0,0,0,0,0,0
2018,14,QB,patrick-mahomes-mahompa01,Patrick Mahomes,KC,BAL,home,25.00,53,35,377,2,1,0,2,-3,0,0,0,0,0,0,0,0
2018,14,QB,eli-manning-manniel01,Eli Manning,NYG,WAS,away,25.00,22,14,197,3,0,0,0,0,0,0,0,0,0,0,0,0
2018,14,QB,derek-carr-carrde03,Derek Carr,OAK,PIT,home,23.00,34,25,322,2,0,0,1,-1,0,0,0,0,0,0,1,0
2018,14,QB,nick-mullens-mulleni01,Nick Mullens,SF,DEN,home,23.00,33,20,332,2,1,0,5,-10,0,0,0,0,0,0,0,0
2018,14,QB,aaron-rodgers-rodgeaa01,Aaron Rodgers,GB,ATL,home,23.00,32,21,196,2,0,0,3,44,0,0,0,0,0,0,0,0
2018,14,QB,ben-roethlisberger-roethbe01,Ben Roethlisberger,PIT,OAK,away,23.00,29,25,282,2,0,0,0,0,0,0,0,0,0,0,0,0
2018,14,QB,lamar-jackson-jacksla06,Lamar Jackson,BAL,KC,away,22.00,24,13,147,2,0,0,14,67,0,0,0,0,0,0,1,0
2018,14,QB,jameis-winston-winstja01,Jameis Winston,TB,NO,home,22.00,38,18,213,2,1,0,5,47,0,0,0,0,0,0,0,0
2018,14,QB,josh-allen-allenjo06,Josh Allen,BUF,NYJ,home,19.00,36,18,206,0,2,0,9,101,1,0,0,0,0,0,1,0
2018,14,QB,deshaun-watson-watsode03,Deshaun Watson,HOU,IND,home,19.00,38,27,267,1,0,0,5,35,0,0,0,0,0,0,0,0
2018,14,QB,drew-brees-breesdr01,Drew Brees,NO,TB,away,17.00,31,24,201,1,1,0,3,-1,1,0,0,0,0,0,1,0
2018,14,QB,case-keenum-keenuca01,Case Keenum,DEN,SF,away,15.00,42,24,186,1,0,0,4,24,0,0,0,0,0,0,0,0
2018,14,QB,cody-kessler-kesslco01,Cody Kessler,JAX,TEN,away,15.00,43,25,240,1,0,0,5,17,0,0,0,0,0,0,1,0
2018,14,QB,baker-mayfield-mayfiba01,Baker Mayfield,CLE,CAR,home,15.00,22,18,238,1,0,0,4,2,0,0,0,0,0,0,0,0
2018,14,QB,philip-rivers-riverph01,Philip Rivers,LAC,CIN,home,14.00,29,19,220,1,0,0,2,7,0,0,0,0,0,0,0,0
2018,14,QB,kirk-cousins-cousiki01,Kirk Cousins,MIN,SEA,away,13.00,33,20,208,1,0,0,3,5,0,0,0,0,0,0,1,0
2018,14,QB,jeff-driskel-driskje01,Jeff Driskel,CIN,LAC,away,13.00,27,18,170,1,0,0,2,12,0,0,0,0,0,0,0,0
2018,14,QB,sam-darnold-darnosa01,Sam Darnold,NYJ,BUF,away,11.00,24,16,170,1,1,0,4,10,0,0,0,0,0,0,0,0
2018,14,QB,cam-newton-newtoca02,Cam Newton,CAR,CLE,away,10.00,42,26,265,0,1,0,5,23,0,0,0,0,0,0,0,0
2018,14,QB,russell-wilson-wilsoru01,Russell Wilson,SEA,MIN,home,8.00,20,10,72,0,1,1,7,61,0,0,0,0,0,0,0,0
2018,14,QB,josh-rosen-rosenjo01,Josh Rosen,ARI,DET,home,7.00,41,26,240,0,1,0,2,3,0,0,0,0,0,0,0,0
2018,14,QB,mitchell-trubisky-trubimi01,Mitchell Trubisky,CHI,LA,home,6.00,30,16,110,1,3,0,6,23,0,0,0,0,0,0,0,0
2018,14,QB,marcus-mariota-marioma01,Marcus Mariota,TEN,JAX,home,5.00,24,18,162,0,1,0,4,13,0,0,0,0,0,0,0,0
2018,14,QB,matthew-stafford-staffma01,Matthew Stafford,DET,ARI,away,4.00,23,15,101,0,0,0,1,7,0,0,0,0,0,0,0,0
2018,14,QB,taylor-heinicke-heinita01,Taylor Heinicke,CAR,CLE,away,1.00,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,14,QB,joe-webb-webbjo01,Joe Webb,HOU,IND,home,1.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2018,14,QB,robert-griffin-griffro02,Robert Griffin III,BAL,KC,away,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,14,QB,taysom-hill-hillta01,Taysom Hill,NO,TB,away,0.00,0,0,0,0,0,0,1,-6,0,0,0,0,0,0,0,0
2018,14,QB,deshone-kizer-kizerde01,DeShone Kizer,ATL,GB,away,0.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
2018,14,QB,josh-mccown-mccowjo01,Josh McCown,NYJ,BUF,away,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,14,QB,joshua-dobbs-dobbsjo01,Joshua Dobbs,PIT,OAK,away,-1.00,9,4,24,0,1,0,2,15,0,0,0,0,0,0,0,0
2018,14,QB,jared-goff-goffja01,Jared Goff,LA,CHI,away,-1.00,44,20,180,0,4,0,1,5,0,0,0,0,0,0,0,0
2018,14,QB,kyle-lauletta-lauleky01,Kyle Lauletta,NYG,WAS,away,-2.00,5,0,0,0,1,0,1,-2,0,0,0,0,0,0,0,0
2018,14,QB,mark-sanchez-sanchma01,Mark Sanchez,WAS,NYG,home,-3.00,14,6,38,0,2,0,0,0,0,0,0,0,0,0,0,0
